x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,s_m
216.01,5.1944,0.0,-0.000459162,0,0.0,0
218.036,7.40788,0.0,-7.54689e-05,0,0.0,3.00066
220.062,9.62129,0.0,0.000168303,0,0.0,6.00133
222.084,11.8381,0.0,5.11637e-06,0,0.0,9.002
224.11,14.0523,0.0,-2.89714e-05,0,0.0,12.0027
226.133,16.2684,0.0,-7.89374e-05,0,0.0,15.0033
228.158,18.4826,0.0,1.92929e-05,0,0.0,18.004
230.183,20.6968,0.0,8.15449e-05,0,0.0,21.0047
232.206,22.9133,0.0,-2.95085e-05,0,0.0,24.0053
234.231,25.1272,0.0,2.63347e-05,0,0.0,27.006
236.254,27.3434,0.0,-5.56495e-05,0,0.0,30.0067
238.279,29.5582,0.0,-0.000172073,0,0.0,33.0074
240.304,31.772,0.0,6.70722e-06,0,0.0,36.008
242.331,33.985,0.0,2.09453e-05,0,0.0,39.0087
244.354,36.2009,0.0,-0.000291824,0,0.0,42.0093
246.382,38.4123,0.0,-0.000336297,0,0.0,45.01
248.412,40.6226,0.0,-0.000215523,0,0.0,48.0106
250.443,42.8315,0.0,-0.000236014,0,0.0,51.0113
252.475,45.0391,0.0,-0.000206068,0,0.0,54.012
254.509,47.2449,0.0,-0.000323754,0,0.0,57.0126
256.544,49.4505,0.0,-0.000301297,0,0.0,60.0133
258.584,51.6504,0.0,-9.13845e-05,0,0.0,63.014
260.62,53.8546,0.0,-0.00023463,0,0.0,66.0146
262.662,56.0536,0.0,-0.000165785,0,0.0,69.0153
264.703,58.253,0.0,0.000279322,0,0.0,72.016
266.744,60.4529,0.0,0.0003204,0,0.0,75.0167
268.779,62.6582,0.0,-5.26533e-05,0,0.0,78.0173
270.818,64.8599,0.0,-6.8205e-05,0,0.0,81.018
272.856,67.0621,0.0,0.000112883,0,0.0,84.0187
274.893,69.2653,0.0,-0.000138757,0,0.0,87.0194
276.93,71.4688,0.0,-0.000281059,0,0.0,90.02
278.972,73.6673,0.0,-0.000184571,0,0.0,93.0207
281.011,75.8686,0.0,-0.000585664,0,0.0,96.0214
283.056,78.0647,0.0,-0.000919847,0,0.0,99.022
285.108,80.254,0.0,-0.000901755,0,0.0,102.023
287.164,82.4395,0.0,-0.000997927,0,0.0,105.023
289.229,84.6172,0.0,-0.00113669,0,0.0,108.024
291.298,86.7897,0.0,-0.0014376,0,0.0,111.025
293.379,88.9521,0.0,-0.00168376,0,0.0,114.025
295.47,91.104,0.0,-0.00177331,0,0.0,117.026
297.573,93.2449,0.0,-0.00205398,0,0.0,120.027
299.687,95.3737,0.0,-0.00230267,0,0.0,123.027
301.819,97.4857,0.0,-0.00207449,0,0.0,126.028
303.963,99.5847,0.0,-0.00221489,0,0.0,129.029
306.118,101.673,0.0,-0.00263514,0,0.0,132.029
308.295,103.738,0.0,-0.00248183,0,0.0,135.03
310.482,105.792,0.0,-0.00249031,0,0.0,138.031
312.688,107.827,0.0,-0.00236445,0,0.0,141.031
314.908,109.846,0.0,-0.00206051,0,0.0,144.032
317.138,111.853,0.0,-0.00236484,0,0.0,147.033
319.383,113.844,0.0,-0.0026743,0,0.0,150.033
321.645,115.816,0.0,-0.00238244,0,0.0,153.034
323.922,117.77,0.0,-0.00203926,0,0.0,156.035
326.208,119.713,0.0,-0.00218043,0,0.0,159.035
328.509,121.64,0.0,-0.00214189,0,0.0,162.036
330.822,123.551,0.0,-0.0019629,0,0.0,165.037
333.145,125.451,0.0,-0.00200032,0,0.0,168.037
335.481,127.334,0.0,-0.00208072,0,0.0,171.038
337.826,129.206,0.0,-0.00208037,0,0.0,174.039
