x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,s_m
0,0,0.0,-0.00319884,0,0.0,0
0.293381,2.99715,0.0,4.73175e-05,0,0.0,3.01148
0.585737,5.99441,0.0,-5.61003e-05,0,0.0,6.02295
0.8786,8.99161,0.0,-0.000224727,0,0.0,9.03443
1.1735,11.9886,0.0,-0.000342741,0,0.0,12.0459
1.47193,14.9853,0.0,-0.000288369,0,0.0,15.0574
1.77363,17.9816,0.0,-3.13392e-05,0,0.0,18.0689
2.07567,20.9779,0.0,0.0003115,0,0.0,21.0803
2.3749,23.9745,0.0,0.000651335,0,0.0,24.0918
2.66817,26.9716,0.0,0.000897031,0,0.0,27.1033
2.95265,29.9696,0.0,0.000940413,0,0.0,30.1148
3.22828,32.9685,0.0,0.000824993,0,0.0,33.1262
3.49644,35.968,0.0,0.000666846,0,0.0,36.1377
3.75858,38.968,0.0,0.000508248,0,0.0,39.1492
4.01613,41.9685,0.0,0.000350264,0,0.0,42.1607
4.27051,44.9692,0.0,0.000192383,0,0.0,45.1722
4.52316,47.97,0.0,3.43121e-05,0,0.0,48.1836
4.77549,50.9709,0.0,-0.000121971,0,0.0,51.1951
5.02895,53.9717,0.0,-0.000227379,0,0.0,54.2066
5.28488,56.9723,0.0,-0.000188232,0,0.0,57.2181
5.54296,59.9727,0.0,-2.08047e-06,0,0.0,60.2295
5.80107,62.9731,0.0,0.000238363,0,0.0,63.241
6.05704,65.9737,0.0,-0.0186824,0,0.0,66.2525
6.30865,68.9746,0.0,-0.125975,0,0.0,69.264
7.18654,71.604,0.0,-0.0616504,0,0.0,72.036
9.81908,72.2967,0.0,0.180385,0,0.0,74.7582
9.34437,75.2309,0.0,0.130672,0,0.0,77.7305
8.5487,78.1353,0.0,-0.00788026,0,0.0,80.742
7.88281,81.0714,0.0,-0.0338389,0,0.0,83.7526
7.55095,84.062,0.0,-0.0366236,0,0.0,86.7615
7.63361,87.0709,0.0,-0.0193658,0,0.0,89.7716
7.87374,90.0728,0.0,-0.00405043,0,0.0,92.7831
8.08548,93.0768,0.0,-0.00852984,0,0.0,95.7945
8.34329,96.0769,0.0,-0.0272878,0,0.0,98.8057
8.84429,99.0447,0.0,-0.0431352,0,0.0,101.815
9.7832,101.902,0.0,-0.0441197,0,0.0,104.823
11.1049,104.607,0.0,-0.0427141,0,0.0,107.834
12.7054,107.152,0.0,-0.0465144,0,0.0,110.84
14.7001,109.405,0.0,-0.0434304,0,0.0,113.849
16.9626,111.39,0.0,-0.0372624,0,0.0,116.859
19.4254,113.121,0.0,-0.0368207,0,0.0,119.869
22.0596,114.577,0.0,-0.0374167,0,0.0,122.879
24.8494,115.705,0.0,-0.0319052,0,0.0,125.889
27.7407,116.546,0.0,-0.0246383,0,0.0,128.899
30.6774,117.21,0.0,-0.0216253,0,0.0,131.91
33.6554,117.654,0.0,-0.01625,0,0.0,134.921
36.6526,117.945,0.0,-0.00755012,0,0.0,137.933
39.6549,118.179,0.0,-0.00142645,0,0.0,140.944
42.6577,118.407,0.0,0.00115457,0,0.0,143.955
45.6592,118.653,0.0,0.000424242,0,0.0,146.967
48.6595,118.912,0.0,-0.00283085,0,0.0,149.978
51.6621,119.142,0.0,-0.00518461,0,0.0,152.99
54.6687,119.314,0.0,-0.00413339,0,0.0,156.001
57.6773,119.444,0.0,0.0131145,0,0.0,159.013
60.6863,119.566,0.0,0.109968,0,0.0,162.024
63.5399,120.205,0.0,0.0948302,0,0.0,164.948
64.7177,122.925,0.0,-0.0764694,0,0.0,167.913
67.6287,123.562,0.0,-0.0662007,0,0.0,170.893
70.5345,124.349,0.0,0.0141538,0,0.0,173.903
73.3954,125.289,0.0,0.00633356,0,0.0,176.915
76.2412,126.274,0.0,-0.000629847,0,0.0,179.926
79.0951,127.236,0.0,-0.00157743,0,0.0,182.938
81.9555,128.177,0.0,-0.00265698,0,0.0,185.949
84.8131,129.128,0.0,-0.0337342,0,0.0,188.961
87.6977,129.988,0.0,-0.105895,0,0.0,191.971
90.6651,129.812,0.0,-0.165167,0,0.0,194.943
93.1308,128.139,0.0,-0.162975,0,0.0,197.923
94.3687,125.452,0.0,-0.100221,0,0.0,200.882
94.7319,122.463,0.0,-0.0305666,0,0.0,203.893
95.0046,119.464,0.0,-0.00191041,0,0.0,206.905
95.278,116.465,0.0,0.000698253,0,0.0,209.916
95.5716,113.467,0.0,-0.000188019,0,0.0,212.928
95.8494,110.469,0.0,-0.0293154,0,0.0,215.939
96.1319,107.471,0.0,-0.125134,0,0.0,218.951
95.3752,104.667,0.0,-0.16187,0,0.0,221.854
92.8226,103.091,0.0,-0.0685521,0,0.0,224.854
90.2001,101.61,0.0,-0.00401387,0,0.0,227.866
87.571,100.142,0.0,-0.00023953,0,0.0,230.877
84.9418,98.6731,0.0,0.000365601,0,0.0,233.889
82.3151,97.2002,0.0,7.12808e-05,0,0.0,236.9
79.6901,95.7245,0.0,-0.000621544,0,0.0,239.912
77.0605,94.2566,0.0,0.000909891,0,0.0,242.923
74.4273,92.7955,0.0,0.00679388,0,0.0,245.935
71.8225,91.2844,0.0,0.0151105,0,0.0,248.946
69.2906,89.6548,0.0,0.0208175,0,0.0,251.957
66.88,87.8512,0.0,0.0182952,0,0.0,254.968
64.5884,85.8977,0.0,0.00837482,0,0.0,257.979
62.3416,83.8924,0.0,0.000426984,0,0.0,260.99
60.0785,81.9056,0.0,-0.000790654,0,0.0,264.002
57.813,79.9216,0.0,0.000133179,0,0.0,267.013
55.5496,77.9351,0.0,0.00020663,0,0.0,270.025
53.2875,75.9471,0.0,5.07358e-05,0,0.0,273.036
51.0257,73.9589,0.0,-7.50169e-05,0,0.0,276.048
48.7633,71.9713,0.0,-0.000106622,0,0.0,279.059
46.5,69.9847,0.0,-3.87111e-05,0,0.0,282.071
44.2365,67.9984,0.0,5.2229e-05,0,0.0,285.082
41.9734,66.0116,0.0,0.000107342,0,0.0,288.094
39.711,64.024,0.0,3.37007e-05,0,0.0,291.105
37.4493,62.0356,0.0,-0.000224497,0,0.0,294.117
35.1863,60.0487,0.0,0.00284645,0,0.0,297.128
32.9199,58.0656,0.0,0.0692528,0,0.0,300.14
30.7356,56.0012,0.0,0.138695,0,0.0,303.145
30.6014,53.0689,0.0,0.0501668,0,0.0,306.081
30.6831,50.0659,0.0,-0.0781869,0,0.0,309.085
29.7962,47.2051,0.0,-0.103493,0,0.0,312.08
27.9717,44.8309,0.0,-0.00950063,0,0.0,315.074
25.7102,42.8744,0.0,0.0980647,0,0.0,318.064
25.0781,39.9458,0.0,0.0688854,0,0.0,321.06
24.6992,36.9583,0.0,0.00854928,0,0.0,324.072
24.3516,33.967,0.0,0.000228555,0,0.0,327.083
23.9915,30.9771,0.0,0.000320235,0,0.0,330.095
23.6332,27.987,0.0,0.00174282,0,0.0,333.106
23.2953,24.9946,0.0,0.00207262,0,0.0,336.118
22.9777,21.9999,0.0,0.00153438,0,0.0,339.129
22.6739,19.0038,0.0,0.000818902,0,0.0,342.141
22.3775,16.0069,0.0,0.000168293,0,0.0,345.152
22.082,13.01,0.0,-0.000221728,0,0.0,348.164
21.7833,10.0133,0.0,-0.000274261,0,0.0,351.175
21.4821,7.01696,0.0,-0.000168729,0,0.0,354.187
21.1793,4.02074,0.0,-4.94995e-05,0,0.0,357.198
20.8761,1.02456,0.0,4.77133e-05,0,0.0,360.21
20.5735,-1.97167,0.0,9.20128e-05,0,0.0,363.221
20.2719,-4.968,0.0,9.06414e-05,0,0.0,366.233
19.971,-7.96442,0.0,7.5633e-05,0,0.0,369.244
19.6709,-10.9609,0.0,6.03662e-05,0,0.0,372.256
19.3713,-13.9574,0.0,4.50837e-05,0,0.0,375.267
19.0721,-16.954,0.0,2.97532e-05,0,0.0,378.278
18.7732,-19.9506,0.0,1.44233e-05,0,0.0,381.29
18.4744,-22.9472,0.0,-2.94275e-05,0,0.0,384.301
18.1756,-25.9439,0.0,-0.00142652,0,0.0,387.313
17.8756,-28.9403,0.0,-0.0272683,0,0.0,390.324
17.5265,-31.9313,0.0,-0.0921616,0,0.0,393.336
16.3328,-34.6519,0.0,-0.144775,0,0.0,396.307
13.9858,-36.5,0.0,-0.155705,0,0.0,399.294
11.082,-37.1521,0.0,-0.141658,0,0.0,402.27
8.18282,-36.4011,0.0,-0.108669,0,0.0,405.265
5.62069,-34.8337,0.0,-0.0825026,0,0.0,408.268
3.50304,-32.702,0.0,-0.0712952,0,0.0,411.273
1.8927,-30.1632,0.0,-0.0615127,0,0.0,414.28
0.772933,-27.3716,0.0,-0.0507649,0,0.0,417.287
0.0988661,-24.4391,0.0,-0.0383559,0,0.0,420.296
-0.231295,-21.4469,0.0,-0.0246662,0,0.0,423.307
-0.338877,-18.4377,0.0,-0.0109523,0,0.0,426.318
-0.347971,-15.4263,0.0,-0.000986204,0,0.0,429.329
-0.380137,-12.4151,0.0,-0.00034759,0,0.0,432.341
-0.428899,-9.40402,0.0,-0.00596304,0,0.0,435.352
-0.408787,-6.39268,0.0,-0.0110325,0,0.0,438.364
-0.293555,-3.38367,0.0,-0.0106371,0,0.0,441.375
-0.0376094,-0.383245,0.0,-0.0105747,0,0.0,444.386
