x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,s_m
0,0,0.0,-0.00104507,0,0.0,0
-1.60186,2.54972,0.0,-0.000360791,0,0.0,3.01115
-3.19953,5.10207,0.0,-0.000248816,0,0.0,6.02231
-4.79528,7.65563,0.0,4.99391e-05,0,0.0,9.03346
-6.39141,10.2089,0.0,0.000316041,0,0.0,12.0446
-7.99023,12.7606,0.0,0.000381525,0,0.0,15.0558
-9.59301,15.3097,0.0,0.000109786,0,0.0,18.0669
-11.1969,17.8582,0.0,-0.000836616,0,0.0,21.0781
-12.798,20.4084,0.0,-0.00773182,0,0.0,24.0892
-14.3778,22.9718,0.0,-0.117413,0,0.0,27.1004
-15.7458,25.6218,0.0,-0.378785,0,0.0,30.0827
-13.7765,27.0261,0.0,-0.338075,0,0.0,32.5014
-11.0231,25.8089,0.0,-0.0757406,0,0.0,35.5118
-8.25859,24.6153,0.0,-0.00597784,0,0.0,38.523
-5.51596,23.3728,0.0,-0.0134111,0,0.0,41.5339
-2.83216,22.0081,0.0,-0.0176279,0,0.0,44.5448
-0.225504,20.5015,0.0,-0.0185596,0,0.0,47.5555
2.28617,18.8415,0.0,-0.0166181,0,0.0,50.5662
4.71204,17.0579,0.0,-0.0197148,0,0.0,53.5772
7.06338,15.1787,0.0,-0.0246895,0,0.0,56.5872
9.20113,13.0591,0.0,-0.0162937,0,0.0,59.5976
11.2457,10.8486,0.0,-0.00419776,0,0.0,62.6087
13.284,8.63211,0.0,-0.000696837,0,0.0,65.6199
15.3188,6.41249,0.0,-0.000584959,0,0.0,68.631
17.3482,4.18802,0.0,-0.000225974,0,0.0,71.6422
19.3761,1.96211,0.0,0.000557499,0,0.0,74.6533
21.4064,-0.261602,0.0,0.0085594,0,0.0,77.6645
23.4484,-2.4746,0.0,0.0361012,0,0.0,80.6756
25.6787,-4.48653,0.0,0.0372782,0,0.0,83.6793
28.3359,-5.89827,0.0,-0.0294711,0,0.0,86.6882
30.7713,-7.64882,0.0,-0.086081,0,0.0,89.6876
32.5098,-10.095,0.0,-0.0823032,0,0.0,92.6886
33.6232,-12.8865,0.0,-0.0432595,0,0.0,95.6939
34.2129,-15.8373,0.0,0.0215712,0,0.0,98.7031
35.041,-18.7207,0.0,0.0575797,0,0.0,101.703
36.6281,-21.2757,0.0,0.0319619,0,0.0,104.711
38.36,-23.7389,0.0,0.00400022,0,0.0,107.722
40.0797,-26.2107,0.0,-0.000110567,0,0.0,110.733
41.8022,-28.6805,0.0,0.000357624,0,0.0,113.744
43.528,-31.1481,0.0,-0.000630737,0,0.0,116.755
45.255,-33.6147,0.0,-0.00592864,0,0.0,119.767
46.9574,-36.0984,0.0,-0.0198348,0,0.0,122.778
48.5276,-38.6661,0.0,-0.0321595,0,0.0,125.787
49.7656,-41.4088,0.0,-0.0260924,0,0.0,128.797
50.7658,-44.2487,0.0,-0.0103128,0,0.0,131.807
51.7133,-47.1069,0.0,-0.00176458,0,0.0,134.819
52.6557,-49.9668,0.0,4.30574e-05,0,0.0,137.83
53.6005,-52.8259,0.0,0.000197592,0,0.0,140.841
54.547,-55.6844,0.0,0.000104381,0,0.0,143.852
55.4944,-58.5426,0.0,7.55782e-06,0,0.0,146.863
56.4419,-61.4008,0.0,-8.45668e-05,0,0.0,149.874
57.3887,-64.2593,0.0,-0.000143964,0,0.0,152.886
58.3339,-67.1182,0.0,-0.000145829,0,0.0,155.897
59.2779,-69.9776,0.0,-0.00011168,0,0.0,158.908
60.2209,-72.8372,0.0,-7.0969e-05,0,0.0,161.919
61.1633,-75.6971,0.0,-3.01078e-05,0,0.0,164.93
62.1055,-78.5571,0.0,1.07062e-05,0,0.0,167.941
63.0477,-81.417,0.0,5.14608e-05,0,0.0,170.952
63.9904,-84.2768,0.0,9.23058e-05,0,0.0,173.964
64.9339,-87.1364,0.0,0.000133065,0,0.0,176.975
65.8785,-89.9955,0.0,0.000173799,0,0.0,179.986
66.8246,-92.8542,0.0,-0.000678379,0,0.0,182.997
67.7726,-95.7122,0.0,-0.0303082,0,0.0,186.008
68.6918,-98.579,0.0,-0.126452,0,0.0,189.019
68.5763,-101.523,0.0,-0.150195,0,0.0,191.965
66.3789,-103.517,0.0,0.021544,0,0.0,194.933
64.5589,-105.829,0.0,0.155487,0,0.0,197.874
64.6913,-108.773,0.0,0.0999082,0,0.0,200.822
65.5299,-111.665,0.0,-0.00252761,0,0.0,203.833
66.382,-114.553,0.0,-0.100996,0,0.0,206.844
