x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,s_m
0,0,0.0,-4.79676e-05,0,0.0,0
-0.289736,-0.0778857,0.0,-3.87055e-05,0,0.0,0.300022
-0.579473,-0.155769,0.0,-3.00784e-05,0,0.0,0.600044
-0.86921,-0.23365,0.0,-2.13618e-05,0,0.0,0.900066
-1.15895,-0.311529,0.0,-1.18807e-05,0,0.0,1.20009
-1.44869,-0.389407,0.0,-3.69495e-06,0,0.0,1.50011
-1.73842,-0.467285,0.0,3.52459e-06,0,0.0,1.80013
-2.02816,-0.545164,0.0,1.05973e-05,0,0.0,2.10015
-2.3179,-0.623043,0.0,1.70353e-05,0,0.0,2.40018
-2.60764,-0.700926,0.0,2.26307e-05,0,0.0,2.7002
-2.89737,-0.778812,0.0,2.76505e-05,0,0.0,3.00022
-3.18711,-0.856701,0.0,3.15622e-05,0,0.0,3.30024
-3.47684,-0.934594,0.0,3.49368e-05,0,0.0,3.60026
-3.76657,-1.01249,0.0,3.73852e-05,0,0.0,3.90028
-4.05631,-1.09039,0.0,3.9038e-05,0,0.0,4.20031
-4.34604,-1.1683,0.0,4.01011e-05,0,0.0,4.50033
-4.63577,-1.24621,0.0,4.0672e-05,0,0.0,4.80035
-4.9255,-1.32412,0.0,4.0429e-05,0,0.0,5.10037
-5.21522,-1.40204,0.0,3.96646e-05,0,0.0,5.40039
-5.50495,-1.47996,0.0,3.87993e-05,0,0.0,5.70042
-5.79468,-1.55788,0.0,3.78877e-05,0,0.0,6.00044
-6.0844,-1.63581,0.0,3.66528e-05,0,0.0,6.30046
-6.37413,-1.71374,0.0,3.52689e-05,0,0.0,6.60048
-6.66385,-1.79167,0.0,3.41269e-05,0,0.0,6.9005
-6.95357,-1.86961,0.0,3.31074e-05,0,0.0,7.20053
-7.24329,-1.94754,0.0,3.18884e-05,0,0.0,7.50055
-7.53301,-2.02549,0.0,3.05297e-05,0,0.0,7.80057
-7.82273,-2.10343,0.0,2.93684e-05,0,0.0,8.10059
-8.11245,-2.18138,0.0,2.83308e-05,0,0.0,8.40061
-8.40217,-2.25933,0.0,2.71398e-05,0,0.0,8.70064
-8.69189,-2.33728,0.0,2.57959e-05,0,0.0,9.00066
-8.98161,-2.41523,0.0,2.46135e-05,0,0.0,9.30068
-9.27133,-2.49319,0.0,2.35369e-05,0,0.0,9.6007
-9.56104,-2.57114,0.0,2.23616e-05,0,0.0,9.90072
-9.85076,-2.64911,0.0,2.10467e-05,0,0.0,10.2007
-10.1405,-2.72707,0.0,1.98442e-05,0,0.0,10.5008
-10.4302,-2.80503,0.0,1.87531e-05,0,0.0,10.8008
-10.7199,-2.883,0.0,1.75864e-05,0,0.0,11.1008
-11.0096,-2.96096,0.0,1.63018e-05,0,0.0,11.4008
-11.2993,-3.03893,0.0,1.50865e-05,0,0.0,11.7009
-11.589,-3.1169,0.0,1.3971e-05,0,0.0,12.0009
-11.8788,-3.19487,0.0,1.28055e-05,0,0.0,12.3009
-12.1685,-3.27284,0.0,1.1541e-05,0,0.0,12.6009
-12.4582,-3.35081,0.0,1.03371e-05,0,0.0,12.9009
-12.7479,-3.42879,0.0,9.20094e-06,0,0.0,13.201
-13.0376,-3.50676,0.0,8.02918e-06,0,0.0,13.501
-13.3273,-3.58474,0.0,6.7918e-06,0,0.0,13.801
-13.617,-3.66271,0.0,5.59341e-06,0,0.0,14.101
-13.9067,-3.74069,0.0,4.42797e-06,0,0.0,14.4011
-14.1965,-3.81867,0.0,3.2386e-06,0,0.0,14.7011
-14.4862,-3.89664,0.0,2.02426e-06,0,0.0,15.0011
-14.7759,-3.97462,0.0,8.45929e-07,0,0.0,15.3011
-15.0656,-4.0526,0.0,-3.38504e-07,0,0.0,15.6011
-15.3553,-4.13057,0.0,-1.53682e-06,0,0.0,15.9012
-15.645,-4.20855,0.0,-2.72734e-06,0,0.0,16.2012
-15.9347,-4.28653,0.0,-3.90313e-06,0,0.0,16.5012
-16.2244,-4.3645,0.0,-5.0996e-06,0,0.0,16.8012
-16.5141,-4.44248,0.0,-6.33054e-06,0,0.0,17.1012
-16.8039,-4.52045,0.0,-7.50522e-06,0,0.0,17.4013
-17.0936,-4.59843,0.0,-8.66259e-06,0,0.0,17.7013
-17.3833,-4.6764,0.0,-9.86636e-06,0,0.0,18.0013
-17.673,-4.75438,0.0,-1.1112e-05,0,0.0,18.3013
-17.9627,-4.83235,0.0,-1.22732e-05,0,0.0,18.6014
-18.2524,-4.91032,0.0,-1.3396e-05,0,0.0,18.9014
-18.5421,-4.98829,0.0,-1.46132e-05,0,0.0,19.2014
-18.8319,-5.06626,0.0,-1.58868e-05,0,0.0,19.5014
-19.1216,-5.14423,0.0,-1.7043e-05,0,0.0,19.8014
-19.4113,-5.22219,0.0,-1.81501e-05,0,0.0,20.1015
-19.701,-5.30016,0.0,-1.93653e-05,0,0.0,20.4015
-19.9907,-5.37812,0.0,-2.06646e-05,0,0.0,20.7015
-20.2804,-5.45608,0.0,-2.18211e-05,0,0.0,21.0015
-20.5701,-5.53404,0.0,-2.28993e-05,0,0.0,21.3016
-20.8599,-5.61199,0.0,-2.41116e-05,0,0.0,21.6016
-21.1496,-5.68995,0.0,-2.54223e-05,0,0.0,21.9016
-21.4393,-5.7679,0.0,-2.65662e-05,0,0.0,22.2016
-21.729,-5.84585,0.0,-2.75624e-05,0,0.0,22.5016
-22.0187,-5.9238,0.0,-2.86271e-05,0,0.0,22.8017
-22.3085,-6.00174,0.0,-2.97567e-05,0,0.0,23.1017
-22.5982,-6.07969,0.0,-3.06118e-05,0,0.0,23.4017
-22.8879,-6.15763,0.0,-3.12127e-05,0,0.0,23.7017
-23.1776,-6.23556,0.0,-3.18194e-05,0,0.0,24.0018
-23.4673,-6.3135,0.0,-3.24563e-05,0,0.0,24.3018
-23.7571,-6.39143,0.0,-3.28168e-05,0,0.0,24.6018
-24.0468,-6.46936,0.0,-3.28663e-05,0,0.0,24.9018
-24.3365,-6.54728,0.0,-3.29296e-05,0,0.0,25.2018
-24.6262,-6.6252,0.0,-3.30405e-05,0,0.0,25.5019
-24.916,-6.70312,0.0,-3.28931e-05,0,0.0,25.8019
-25.2057,-6.78104,0.0,-3.24279e-05,0,0.0,26.1019
-25.4954,-6.85895,0.0,-3.19695e-05,0,0.0,26.4019
-25.7852,-6.93686,0.0,-3.16181e-05,0,0.0,26.702
-26.0749,-7.01477,0.0,-3.10543e-05,0,0.0,27.002
-26.3646,-7.09267,0.0,-2.94042e-05,0,0.0,27.302
-26.6543,-7.17058,0.0,-2.5979e-05,0,0.0,27.602
-26.9441,-7.24848,0.0,-1.45011e-05,0,0.0,27.902
-27.2338,-7.32637,0.0,6.6553e-06,0,0.0,28.2021
-27.5235,-7.40427,0.0,3.9698e-05,0,0.0,28.5021
-27.8133,-7.48216,0.0,8.63261e-05,0,0.0,28.8021
-28.103,-7.56005,0.0,0.00015813,0,0.0,29.1021
-28.3927,-7.63794,0.0,0.000249586,0,0.0,29.4021
-28.6825,-7.71582,0.0,0.000351298,0,0.0,29.7022
-28.9722,-7.79371,0.0,0.000458574,0,0.0,30.0022
-29.262,-7.87159,0.0,0.000346175,0,0.0,30.3022
-29.5517,-7.94949,0.0,-0.000145387,0,0.0,30.6022
-29.8414,-8.02745,0.0,-0.000614341,0,0.0,30.9023
-30.1311,-8.10548,0.0,-0.000618096,0,0.0,31.2023
-30.4208,-8.18358,0.0,0.000649238,0,0.0,31.5023
-30.7104,-8.26179,0.0,0.000404379,0,0.0,31.8023
-31,-8.34019,0.0,-0.00256713,0,0.0,32.1023
-31.2896,-8.41874,0.0,-0.010291,0,0.0,32.4024
-31.5791,-8.49742,0.0,-0.0308159,0,0.0,32.7024
-31.8686,-8.57621,0.0,-0.0616818,0,0.0,33.0024
-32.1585,-8.65349,0.0,-0.101881,0,0.0,33.3024
-32.4491,-8.72808,0.0,-0.146624,0,0.0,33.6024
-32.7396,-8.80303,0.0,-0.192925,0,0.0,33.9025
-33.0291,-8.88154,0.0,-0.236292,0,0.0,34.2025
-33.316,-8.96942,0.0,-0.26842,0,0.0,34.5025
-33.6059,-9.04641,0.0,-0.291305,0,0.0,34.8024
-33.8997,-9.10157,0.0,-0.307518,0,0.0,35.1014
-34.1989,-9.11848,0.0,-0.318184,0,0.0,35.4011
-34.4879,-9.0377,0.0,-0.324633,0,0.0,35.7011
-34.7451,-8.88848,0.0,-0.325655,0,0.0,35.9985
-34.9718,-8.69468,0.0,-0.321339,0,0.0,36.2967
-35.1716,-8.47149,0.0,-0.310179,0,0.0,36.5962
-35.3434,-8.22554,0.0,-0.285161,0,0.0,36.8963
-35.4949,-7.96682,0.0,-0.249956,0,0.0,37.1961
-35.6345,-7.70141,0.0,-0.205606,0,0.0,37.496
-35.7658,-7.43163,0.0,-0.156826,0,0.0,37.796
-35.894,-7.16039,0.0,-0.106925,0,0.0,38.096
-36.0274,-6.89169,0.0,-0.0604965,0,0.0,38.396
-36.1658,-6.6255,0.0,-0.0252893,0,0.0,38.696
-36.309,-6.36191,0.0,0.000832228,0,0.0,38.996
-36.4577,-6.10128,0.0,0.0197807,0,0.0,39.296
-36.6118,-5.84388,0.0,0.0321631,0,0.0,39.5961
-36.7697,-5.58882,0.0,0.0386674,0,0.0,39.8961
-36.9313,-5.33605,0.0,0.0407677,0,0.0,40.1961
-37.0968,-5.08579,0.0,0.0397214,0,0.0,40.4961
-37.2664,-4.83829,0.0,0.0360738,0,0.0,40.7961
-37.4386,-4.59268,0.0,0.0310238,0,0.0,41.0961
-37.6133,-4.34877,0.0,0.0258294,0,0.0,41.3961
-37.7903,-4.10648,0.0,0.0205844,0,0.0,41.6962
-37.9692,-3.86561,0.0,0.0154115,0,0.0,41.9962
-38.1489,-3.62538,0.0,0.0106896,0,0.0,42.2962
-38.3291,-3.38554,0.0,0.0065382,0,0.0,42.5962
-38.5096,-3.14584,0.0,0.00282655,0,0.0,42.8963
-38.6894,-2.90566,0.0,-0.000364109,0,0.0,43.1963
-38.8681,-2.66472,0.0,-0.00291928,0,0.0,43.4963
-39.0457,-2.42291,0.0,-0.00474665,0,0.0,43.7963
-39.222,-2.18012,0.0,-0.00604519,0,0.0,44.0963
-39.3967,-1.93619,0.0,-0.00674481,0,0.0,44.3964
-39.5705,-1.69166,0.0,-0.00687166,0,0.0,44.6964
-39.7436,-1.44663,0.0,-0.00646494,0,0.0,44.9964
-39.9162,-1.2012,0.0,-0.00569694,0,0.0,45.2964
-40.0883,-0.955449,0.0,-0.00460737,0,0.0,45.5964
-40.2603,-0.70966,0.0,-0.00336185,0,0.0,45.8965
-40.4325,-0.463917,0.0,-0.0021086,0,0.0,46.1965
-40.6047,-0.218292,0.0,-0.000938354,0,0.0,46.4965
-40.7773,0.0271326,0.0,9.32898e-05,0,0.0,46.7965
-40.9501,0.272419,0.0,0.000900908,0,0.0,47.0966
-41.123,0.517579,0.0,0.00143669,0,0.0,47.3966
-41.2961,0.762617,0.0,0.00180102,0,0.0,47.6966
-41.4695,1.0075,0.0,0.00198811,0,0.0,47.9966
-41.643,1.25226,0.0,0.0020406,0,0.0,48.2966
-41.8166,1.49692,0.0,0.00198344,0,0.0,48.5967
-41.9904,1.74149,0.0,0.00188157,0,0.0,48.8967
-42.1644,1.98594,0.0,0.00173948,0,0.0,49.1967
-42.3384,2.23029,0.0,0.00158782,0,0.0,49.4967
-42.5126,2.47458,0.0,0.00145124,0,0.0,49.7967
-42.6869,2.71879,0.0,0.0013147,0,0.0,50.0968
-42.8613,2.96292,0.0,0.00116799,0,0.0,50.3968
-43.0358,3.20699,0.0,0.00101918,0,0.0,50.6968
-43.2103,3.45102,0.0,0.000880647,0,0.0,50.9968
-43.3849,3.695,0.0,0.000741293,0,0.0,51.2969
-43.5596,3.93893,0.0,0.000596124,0,0.0,51.5969
-43.7343,4.18284,0.0,0.000450178,0,0.0,51.8969
-43.909,4.42672,0.0,0.000310596,0,0.0,52.1969
-44.0838,4.67059,0.0,0.000168448,0,0.0,52.4969
-44.2586,4.91445,0.0,2.39191e-05,0,0.0,52.797
-44.4333,5.1583,0.0,-0.000119147,0,0.0,53.097
-44.6081,5.40217,0.0,-0.000258858,0,0.0,53.397
-44.7829,5.64604,0.0,-0.000403789,0,0.0,53.697
-44.9576,5.88994,0.0,-0.000552729,0,0.0,53.9971
-45.1323,6.13387,0.0,-0.000718104,0,0.0,54.2971
-45.3069,6.37783,0.0,-0.000934331,0,0.0,54.5971
-45.4815,6.62183,0.0,-0.0013078,0,0.0,54.8971
-45.656,6.86588,0.0,-0.00184132,0,0.0,55.1971
-45.8304,7.11001,0.0,-0.00255964,0,0.0,55.4972
-46.0047,7.35419,0.0,-0.00351647,0,0.0,55.7972
-46.1789,7.59844,0.0,-0.00487593,0,0.0,56.0972
-46.353,7.84276,0.0,-0.00652728,0,0.0,56.3972
-46.527,8.0872,0.0,-0.00838612,0,0.0,56.6973
-46.7008,8.33174,0.0,-0.0104817,0,0.0,56.9973
-46.8744,8.57646,0.0,-0.0129141,0,0.0,57.2973
-47.0475,8.82152,0.0,-0.0153893,0,0.0,57.5973
-47.2194,9.06737,0.0,-0.0176896,0,0.0,57.8973
-47.3902,9.31403,0.0,-0.019861,0,0.0,58.1974
-47.5597,9.56163,0.0,-0.0218988,0,0.0,58.4974
-47.7274,9.81039,0.0,-0.023585,0,0.0,58.7974
-47.8923,10.0611,0.0,-0.0246482,0,0.0,59.0974
-48.0547,10.3133,0.0,-0.0252938,0,0.0,59.3974
-48.2146,10.5671,0.0,-0.0255026,0,0.0,59.6975
-48.3717,10.8227,0.0,-0.025239,0,0.0,59.9975
-48.5252,11.0805,0.0,-0.0243081,0,0.0,60.2975
-48.6766,11.3396,0.0,-0.0229719,0,0.0,60.5975
-48.826,11.5997,0.0,-0.0213705,0,0.0,60.8975
-48.9737,11.8609,0.0,-0.0195012,0,0.0,61.1976
-49.1194,12.1231,0.0,-0.0172886,0,0.0,61.4976
-49.2642,12.3859,0.0,-0.0150407,0,0.0,61.7976
-49.4083,12.649,0.0,-0.0129952,0,0.0,62.0976
-49.5519,12.9125,0.0,-0.011099,0,0.0,62.3976
-49.6951,13.1761,0.0,-0.00931524,0,0.0,62.6977
-49.838,13.4399,0.0,-0.00783616,0,0.0,62.9977
-49.9807,13.7038,0.0,-0.00685829,0,0.0,63.2977
-50.1232,13.9679,0.0,-0.00616593,0,0.0,63.5977
-50.2651,14.2322,0.0,-0.00571602,0,0.0,63.8977
-50.4068,14.4967,0.0,-0.00550201,0,0.0,64.1978
-50.548,14.7613,0.0,-0.00559032,0,0.0,64.4978
-50.6889,15.0262,0.0,-0.00582321,0,0.0,64.7978
-50.8293,15.2914,0.0,-0.00609328,0,0.0,65.0978
-50.9691,15.5568,0.0,-0.0063818,0,0.0,65.3979
-51.1085,15.8225,0.0,-0.00669309,0,0.0,65.6979
-51.2474,16.0884,0.0,-0.0070022,0,0.0,65.9979
-51.3856,16.3547,0.0,-0.00723204,0,0.0,66.2979
-51.5232,16.6213,0.0,-0.00739287,0,0.0,66.5979
-51.6603,16.8882,0.0,-0.00754501,0,0.0,66.898
-51.7967,17.1554,0.0,-0.00768001,0,0.0,67.198
-51.9324,17.423,0.0,-0.00772811,0,0.0,67.498
-52.0674,17.691,0.0,-0.00769973,0,0.0,67.798
-52.2017,17.9592,0.0,-0.00766077,0,0.0,68.0981
-52.3354,18.2278,0.0,-0.00760682,0,0.0,68.3981
-52.4683,18.4968,0.0,-0.00747073,0,0.0,68.6981
-52.6006,18.7661,0.0,-0.00725439,0,0.0,68.9981
-52.7323,19.0356,0.0,-0.00703286,0,0.0,69.2981
-52.8636,19.3054,0.0,-0.00680992,0,0.0,69.5982
-52.9942,19.5755,0.0,-0.00653242,0,0.0,69.8982
-53.1242,19.8459,0.0,-0.00620174,0,0.0,70.1982
-53.2538,20.1165,0.0,-0.005892,0,0.0,70.4982
-53.3829,20.3873,0.0,-0.00560991,0,0.0,70.7982
-53.5116,20.6583,0.0,-0.0053041,0,0.0,71.0983
-53.6397,20.9296,0.0,-0.00496503,0,0.0,71.3983
-53.7675,21.2011,0.0,-0.00465061,0,0.0,71.6983
-53.895,21.4727,0.0,-0.00436215,0,0.0,71.9983
-54.0221,21.7444,0.0,-0.00405789,0,0.0,72.2984
-54.1488,22.0164,0.0,-0.00372528,0,0.0,72.5984
-54.2752,22.2885,0.0,-0.00341077,0,0.0,72.8984
-54.4014,22.5607,0.0,-0.00311643,0,0.0,73.1984
-54.5273,22.833,0.0,-0.00281175,0,0.0,73.4984
-54.6529,23.1054,0.0,-0.00248557,0,0.0,73.7985
-54.7784,23.378,0.0,-0.0021727,0,0.0,74.0985
-54.9037,23.6506,0.0,-0.00187261,0,0.0,74.3985
-55.0288,23.9232,0.0,-0.00156546,0,0.0,74.6985
-55.1538,24.196,0.0,-0.0012456,0,0.0,74.9986
-55.2787,24.4688,0.0,-0.000935374,0,0.0,75.2986
-55.4036,24.7416,0.0,-0.000632229,0,0.0,75.5986
-55.5284,25.0144,0.0,-0.000337479,0,0.0,75.8986
-55.6531,25.2873,0.0,-6.49686e-05,0,0.0,76.1986
-55.7779,25.5601,0.0,0.000166267,0,0.0,76.4987
-55.9026,25.833,0.0,0.000328961,0,0.0,76.7987
-56.0275,26.1058,0.0,0.000423208,0,0.0,77.0987
-56.1524,26.3786,0.0,0.000430275,0,0.0,77.3987
-56.2774,26.6513,0.0,0.000355101,0,0.0,77.6988
-56.4025,26.924,0.0,0.000170281,0,0.0,77.9988
-56.5278,27.1966,0.0,-9.59168e-05,0,0.0,78.2988
-56.6532,27.4692,0.0,-0.000382282,0,0.0,78.5988
-56.7788,27.7417,0.0,-0.000639379,0,0.0,78.8988
-56.9044,28.0141,0.0,-0.000764563,0,0.0,79.1989
-57.03,28.2866,0.0,-0.000662929,0,0.0,79.4989
-57.1554,28.5591,0.0,-0.000284159,0,0.0,79.7989
-57.2806,28.8318,0.0,0.000421397,0,0.0,80.0989
-57.4056,29.1045,0.0,0.00157967,0,0.0,80.3989
-57.5303,29.3774,0.0,0.00323772,0,0.0,80.699
-57.6544,29.6506,0.0,0.00530431,0,0.0,80.999
-57.778,29.9239,0.0,0.00776864,0,0.0,81.299
-57.9016,30.1973,0.0,0.0108886,0,0.0,81.599
-58.0253,30.4707,0.0,0.014792,0,0.0,81.8991
-58.1497,30.7437,0.0,0.0192583,0,0.0,82.1991
-58.2756,31.016,0.0,0.0241763,0,0.0,82.4991
-58.403,31.2876,0.0,0.0295053,0,0.0,82.7991
-58.5322,31.5584,0.0,0.0345768,0,0.0,83.0991
-58.6644,31.8277,0.0,0.0385507,0,0.0,83.3992
-58.7999,32.0954,0.0,0.0409828,0,0.0,83.6992
-58.9388,32.3613,0.0,0.0416719,0,0.0,83.9992
-59.0812,32.6254,0.0,0.0407278,0,0.0,84.2992
-59.2291,32.8864,0.0,0.0382862,0,0.0,84.5992
-59.3834,33.1437,0.0,0.0349618,0,0.0,84.8992
-59.5436,33.3973,0.0,0.031462,0,0.0,85.1992
-59.7095,33.6473,0.0,0.0282421,0,0.0,85.4992
-59.8809,33.8935,0.0,0.0253642,0,0.0,85.7992
-60.0545,34.1382,0.0,0.0226513,0,0.0,86.0992
-60.2273,34.3835,0.0,0.0202512,0,0.0,86.3993
-60.3982,34.63,0.0,0.0183195,0,0.0,86.6993
-60.5658,34.8789,0.0,0.0164469,0,0.0,86.9993
-60.7308,35.1294,0.0,0.0149724,0,0.0,87.2993
-60.8949,35.3806,0.0,0.0145622,0,0.0,87.5993
-61.0586,35.6321,0.0,0.0155946,0,0.0,87.8994
-61.2227,35.8832,0.0,0.0178234,0,0.0,88.1994
-61.3889,36.133,0.0,0.020926,0,0.0,88.4994
-61.5575,36.3812,0.0,0.0248946,0,0.0,88.7994
-61.7291,36.6272,0.0,0.0291873,0,0.0,89.0994
-61.9047,36.8705,0.0,0.0330205,0,0.0,89.3994
-62.0852,37.1102,0.0,0.0358292,0,0.0,89.6995
-62.2689,37.3474,0.0,0.0375162,0,0.0,89.9995
-62.4556,37.5822,0.0,0.0381738,0,0.0,90.2995
-62.6454,37.8145,0.0,0.0378031,0,0.0,90.5995
-62.8389,38.0438,0.0,0.0362232,0,0.0,90.8995
-63.0347,38.2712,0.0,0.0339793,0,0.0,91.1995
-63.2325,38.4967,0.0,0.0313438,0,0.0,91.4996
-63.4324,38.7204,0.0,0.0283754,0,0.0,91.7996
-63.6348,38.9419,0.0,0.025021,0,0.0,92.0996
-63.8385,39.1621,0.0,0.0217848,0,0.0,92.3996
-64.0436,39.3812,0.0,0.0188762,0,0.0,92.6996
-64.2497,39.5991,0.0,0.016087,0,0.0,92.9997
-64.4572,39.8159,0.0,0.0133406,0,0.0,93.2997
-64.6653,40.032,0.0,0.0108637,0,0.0,93.5997
-64.8738,40.2477,0.0,0.00879182,0,0.0,93.8997
-65.0827,40.463,0.0,0.00692255,0,0.0,94.1997
-65.2918,40.6782,0.0,0.00520471,0,0.0,94.4998
-65.5008,40.8934,0.0,0.00373089,0,0.0,94.7998
-65.7098,41.1087,0.0,0.00262003,0,0.0,95.0998
-65.9188,41.324,0.0,0.00170968,0,0.0,95.3998
-66.1277,41.5393,0.0,0.00100788,0,0.0,95.6999
-66.3366,41.7547,0.0,0.000526817,0,0.0,95.9999
-66.5455,41.97,0.0,0.000297868,0,0.0,96.2999
-66.7543,42.1854,0.0,0.000204934,0,0.0,96.5999
-66.9632,42.4008,0.0,0.00021558,0,0.0,96.8999
-67.1721,42.6162,0.0,0.000301955,0,0.0,97.2
-67.381,42.8315,0.0,0.000434619,0,0.0,97.5
-67.5899,43.0468,0.0,0.000577716,0,0.0,97.8
-67.7988,43.2621,0.0,0.000721997,0,0.0,98.1
-68.0079,43.4774,0.0,0.000865364,0,0.0,98.4001
-68.2169,43.6926,0.0,0.0010154,0,0.0,98.7001
-68.426,43.9077,0.0,0.00117979,0,0.0,99.0001
-68.6352,44.1227,0.0,0.00134405,0,0.0,99.3001
-68.8445,44.3377,0.0,0.00150554,0,0.0,99.6001
-69.0539,44.5526,0.0,0.00167689,0,0.0,99.9002
-69.2634,44.7674,0.0,0.00186731,0,0.0,100.2
-69.4729,44.9821,0.0,0.00205524,0,0.0,100.5
-69.6827,45.1966,0.0,0.00223569,0,0.0,100.8
-69.8925,45.4111,0.0,0.00242748,0,0.0,101.1
-70.1025,45.6253,0.0,0.00264356,0,0.0,101.4
-70.3127,45.8394,0.0,0.00285489,0,0.0,101.7
-70.523,46.0534,0.0,0.00305057,0,0.0,102
-70.7336,46.2671,0.0,0.00325534,0,0.0,102.3
-70.9443,46.4806,0.0,0.00347622,0,0.0,102.6
-71.1553,46.6939,0.0,0.00365067,0,0.0,102.9
-71.3666,46.907,0.0,0.00374256,0,0.0,103.2
-71.578,47.1198,0.0,0.00375885,0,0.0,103.5
-71.7897,47.3324,0.0,0.00364782,0,0.0,103.8
-72.0017,47.5447,0.0,0.00337955,0,0.0,104.1
-72.2141,47.7566,0.0,0.00291962,0,0.0,104.4
-72.4267,47.9683,0.0,0.00231104,0,0.0,104.701
-72.6396,48.1797,0.0,0.00147178,0,0.0,105.001
-72.8528,48.3908,0.0,0.000282835,0,0.0,105.301
-73.0664,48.6015,0.0,-0.0014548,0,0.0,105.601
-73.2801,48.8121,0.0,-0.00394302,0,0.0,105.901
-73.4938,49.0226,0.0,-0.00818664,0,0.0,106.201
-73.7075,49.2333,0.0,-0.0145261,0,0.0,106.501
-73.9208,49.4442,0.0,-0.0239924,0,0.0,106.801
-74.1337,49.6556,0.0,-0.037954,0,0.0,107.101
-74.3461,49.8675,0.0,-0.0617763,0,0.0,107.401
-74.5578,50.0801,0.0,-0.0950879,0,0.0,107.701
-74.7684,50.2938,0.0,-0.136796,0,0.0,108.001
-74.9771,50.5093,0.0,-0.189624,0,0.0,108.301
-75.1826,50.7279,0.0,-0.259356,0,0.0,108.601
-75.3835,50.9506,0.0,-0.336113,0,0.0,108.901
-75.5739,51.1826,0.0,-0.405298,0,0.0,109.201
-75.751,51.4245,0.0,-0.460032,0,0.0,109.501
-75.9067,51.6798,0.0,-0.500407,0,0.0,109.8
